SP_ID,oa_code,supgrp_cd,grp_cd
"5950",E00013222,C,C2
"5951",E00006525,C,C2
"5952",E00015226,E,E1
"5953",E00006524,C,C1
"5954",E00005317,A,A2
"5955",E00006527,C,C2
"5956",E00000312,A,A2
"5957",E00004597,D,D2
"5958",E00013221,G,G2
"5959",E00006521,C,C2
"5960",E00015225,G,G2
"5961",E00003710,H,H1
"5962",E00008739,B,B3
"5963",E00003791,H,H2
"5964",E00166613,H,H2
"5965",E00006172,E,E1
"5966",E00015118,C,C4
"5967",E00006174,D,D1
"5968",E00006175,F,F2
"5969",E00013119,C,C2
"5970",E00013198,C,C1
"5971",E00006176,F,F2
"5972",E00013118,C,C2
"5973",E00007729,G,G2
"5974",E00015199,E,E2
"5975",E00004946,A,A2
"5976",E00023960,B,B3
"5977",E00023968,F,F1
"5978",E00023965,D,D2
"5979",E00023963,D,D2
"5980",E00023967,D,D2
"5981",E00023964,D,D2
"5982",E00023966,B,B3
"5983",E00002981,C,C1
"5984",E00002900,G,G2
"5985",E00023969,D,D2
"5986",E00002903,G,G2
"5987",E00002982,C,C2
"5988",E00002983,C,C4
"5989",E00008700,E,E2
"5990",E00002902,G,G2
"5991",E00012381,H,H1
"5992",E00000995,G,G1
"5993",E00000914,F,F1
"5994",E00014057,D,D2
"5995",E00014056,D,D2
"5996",E00000917,F,F2
"5997",E00000996,D,D1
"5998",E00014054,D,D2
"5999",E00002123,A,A2
"6000",E00004123,F,F1
"6001",E00004945,A,A1
"6002",E00007941,H,H2
"6003",E00007946,H,H1
"6004",E00007945,A,A2
"6005",E00013199,C,C1
"6006",E00006177,F,F2
"6007",E00007949,A,A2
"6008",E00008178,E,E2
"6009",E00020568,A,A2
"6010",E00004524,D,D2
"6011",E00006579,G,G2
"6012",E00004526,B,B3
"6013",E00006578,C,C1
"6014",E00006570,C,C2
"6015",E00006571,G,G2
"6016",E00015598,B,B3
"6017",E00015519,F,F2
"6018",E00003212,A,A2
"6019",E00007078,G,G2
"6020",E00003294,H,H1
"6021",E00004078,H,H1
"6022",E00004523,B,B3
"6023",E00003215,A,A2
"6024",E00003841,H,H1
"6025",E00004520,B,B2
"6026",E00003297,H,H2
"6027",E00004070,F,F2
"6028",E00003216,H,H2
"6029",E00004074,H,H2
"6030",E00003842,H,H1
"6031",E00007223,F,F2
"6032",E00004077,H,H1
"6033",E00007225,H,H1
"6034",E00003844,H,H2
"6035",E00003526,A,A2
"6036",E00003849,H,H1
"6037",E00003293,H,H2
"6038",E00004079,H,H2
"6039",E00020304,B,B3
"6040",E00022359,G,G1
"6041",E00023302,F,F1
"6042",E00020385,F,F1
"6043",E00022358,G,G1
"6044",E00023383,B,B1
"6045",E00007008,A,A1
"6046",E00019477,F,F1
"6047",E00007088,G,G2
"6048",E00019476,H,H1
"6049",E00021498,B,B2
"6050",E00021419,B,B2
"6051",E00021418,D,D2
"6052",E00167218,B,B2
"6053",E00021499,E,E2
"6054",E00021411,B,B2
"6055",E00167216,B,B2
"6056",E00021490,B,B2
"6057",E00167215,B,B2
"6058",E00023382,G,G1
"6059",E00023303,F,F1
"6060",E00019475,F,F1
"6061",E00019474,F,F2
"6062",E00023023,B,B1
"6063",E00020025,E,E1
"6064",E00021836,G,G2
"6065",E00022079,G,G1
"6066",E00023022,B,B3
"6067",E00020024,B,B1
"6068",E00020027,D,D2
"6069",E00023903,D,D1
"6070",E00022078,G,G1
"6071",E00023982,B,B1
"6072",E00008068,A,A2
"6073",E00024135,B,B3
"6074",E00023902,B,B3
"6075",E00024134,D,D1
"6076",E00023905,D,D2
"6077",E00023904,D,D2
"6078",E00023985,B,B3
"6079",E00021837,G,G1
"6080",E00023020,B,B1
"6081",E00024133,D,D1
"6082",E00023900,B,B3
"6083",E00012066,H,H1
"6084",E00008990,B,B3
"6085",E00008911,B,B1
"6086",E00003109,G,G1
"6087",E00174812,B,B3
"6088",E00003108,G,G1
"6089",E00008994,E,E2
"6090",E00008915,E,E1
"6091",E00009158,E,E1
"6092",E00012064,H,H1
"6093",E00012156,A,A2
"6094",E00012067,H,H2
"6095",E00174811,D,D1
"6096",E00020581,A,A1
"6097",E00006225,B,B1
"6098",E00004370,A,A1
"6099",E00000279,G,G2
"6100",E00018318,G,G1
"6101",E00000278,A,A1
"6102",E00004372,B,B2
"6103",E00004373,B,B3
"6104",E00006227,A,A1
"6105",E00004374,B,B3
"6106",E00006226,F,F2
"6107",E00004375,F,F1
"6108",E00005271,A,A2
"6109",E00004376,E,E2
"6110",E00005273,A,A1
"6111",E00007866,F,F1
"6112",E00004377,B,B2
"6113",E00000271,A,A1
"6114",E00006222,B,B3
"6115",E00018399,C,C1
"6116",E00005278,H,H1
"6117",E00004371,B,B3
"6118",E00008354,A,A1
"6119",E00021753,B,B2
"6120",E00022660,F,F2
"6121",E00020115,B,B3
"6122",E00022661,D,D1
"6123",E00023192,F,F1
"6124",E00022662,F,F1
"6125",E00023113,E,E1
"6126",E00022663,F,F2
"6127",E00022129,G,G1
"6128",E00001466,E,E1
"6129",E00022664,F,F1
"6130",E00020114,E,E2
"6131",E00014459,E,E2
"6132",E00022665,D,D2
"6133",E00020195,G,G2
"6134",E00022666,F,F2
"6135",E00023193,F,F1
"6136",E00017350,F,F2
"6137",E00017351,H,H2
"6138",E00017353,A,A1
"6139",E00017355,A,A1
"6140",E00017352,A,A1
"6141",E00017354,A,A1
"6142",E00011369,A,A2
"6143",E00167269,B,B3
"6144",E00001350,F,F2
"6145",E00001353,F,F2
"6146",E00001352,F,F2
"6147",E00001355,H,H1
"6148",E00001351,G,G2
"6149",E00000638,G,G2
"6150",E00168198,G,G2
"6151",E00166026,H,H2
"6152",E00166849,G,G1
"6153",E00004687,F,F1
"6154",E00018197,D,D1
"6155",E00006651,C,C2
"6156",E00018116,C,C3
"6157",E00168199,C,C2
"6158",E00015128,C,C1
"6159",E00001651,H,H2
"6160",E00018931,C,C3
"6161",E00006650,G,G2
"6162",E00166021,G,G1
"6163",E00006652,C,C2
"6164",E00166848,G,G1
"6165",E00168194,B,B3
"6166",E00020039,B,B3
"6167",E00021808,G,G1
"6168",E00166027,E,E1
"6169",E00004606,E,E1
"6170",E00018117,G,G1
"6171",E00001659,A,A2
"6172",E00007486,G,G2
"6173",E00006450,C,C2
"6174",E00006451,C,C2
"6175",E00005469,H,H1
"6176",E00006453,C,C2
"6177",E00005468,E,E1
"6178",E00006452,C,C2
"6179",E00000469,G,G1
"6180",E00006455,C,C2
"6181",E00006458,C,C2
"6182",E00004485,E,E2
"6183",E00023603,B,B3
"6184",E00023682,D,D2
"6185",E00023684,D,D2
"6186",E00023602,D,D1
"6187",E00023604,B,B3
"6188",E00023605,E,E2
"6189",E00023686,F,F1
"6190",E00023685,D,D2
"6191",E00023600,D,D1
"6192",E00023681,F,F1
"6193",E00016188,E,E2
"6194",E00016189,F,F1
"6195",E00016929,A,A1
"6196",E00016180,F,F1
"6197",E00016649,E,E1
"6198",E00013481,B,B2
"6199",E00013401,F,F1
"6200",E00013403,D,D2
"6201",E00013400,E,E2
"6202",E00013482,B,B3
"6203",E00013480,E,E2
"6204",E00013408,F,F1
"6205",E00011548,A,A2
"6206",E00010155,D,D1
"6207",E00017534,F,F1
"6208",E00010154,F,F1
"6209",E00017536,F,F2
"6210",E00010157,F,F1
"6211",E00012247,H,H1
"6212",E00017537,F,F1
"6213",E00010156,F,F1
"6214",E00012244,A,A2
"6215",E00011540,H,H2
"6216",E00017161,G,G2
"6217",E00176530,G,G2
"6218",E00011541,A,A2
"6219",E00017160,G,G2
"6220",E00012246,H,H1
"6221",E00011545,A,A2
"6222",E00017163,G,G2
"6223",E00011543,A,A2
"6224",E00017162,G,G1
"6225",E00011924,H,H2
"6226",E00011549,A,A2
"6227",E00017168,C,C1
"6228",E00012245,H,H1
"6229",E00012242,C,C1
"6230",E00021126,H,H2
"6231",E00014644,E,E2
"6232",E00014643,E,E2
"6233",E00004898,F,F2
"6234",E00006005,E,E1
"6235",E00020979,A,A2
"6236",E00004893,B,B1
"6237",E00021106,A,A1
"6238",E00020971,H,H2
"6239",E00020978,H,H2
"6240",E00020973,A,A1
"6241",E00020970,H,H2
"6242",E00020974,F,F2
"6243",E00020972,A,A2
"6244",E00020819,A,A2
"6245",E00000587,H,H2
"6246",E00021929,H,H2
"6247",E00022992,D,D2
"6248",E00022912,E,E2
"6249",E00022993,B,B1
"6250",E00022994,D,D1
